0	1	62	3	115	83	324
2	1	39	573	639	254	391
4	1	39	541	606	303	447
5	1	39	530	588	332	457
6	1	39	515	576	350	478
7	1	73	55	175	338	428
7	2	39	510	562	375	477
8	1	39	500	551	394	479
9	1	39	498	544	416	479
10	1	39	491	534	432	479
20	1	73	235	420	337	456
20	2	39	469	511	432	479
22	1	39	468	509	402	479
23	1	39	466	511	388	479
24	1	73	244	416	295	398
24	2	39	466	510	372	477
25	1	73	248	422	280	390
25	2	39	465	509	360	475
26	1	39	464	510	345	467
27	1	39	462	508	331	452
28	1	73	25	134	308	386
28	2	39	461	510	313	435
29	1	39	464	516	292	417
30	1	73	21	226	196	365
30	2	73	36	149	265	349
30	3	39	475	525	275	391
31	1	73	49	157	254	338
31	2	73	29	225	204	354
31	3	39	485	536	262	382
32	1	73	58	168	245	325
32	2	39	492	547	248	371
33	1	73	61	261	171	330
33	2	73	66	173	232	315
33	3	39	502	555	242	357
34	1	73	67	264	172	320
34	2	39	512	566	230	356
35	1	73	84	271	172	308
35	2	39	529	589	224	345
36	1	62	0	71	79	327
36	2	39	549	609	216	338
37	1	73	123	308	159	292
37	2	62	0	85	77	327
37	3	39	569	630	214	336
38	1	73	132	325	154	285
38	2	62	3	112	85	313
39	1	73	174	349	162	281
39	2	62	2	133	83	319
40	1	73	188	374	159	280
40	2	62	7	159	80	297
41	1	64	1	68	334	364
42	1	73	221	421	163	292
43	1	73	259	461	174	296
44	1	73	278	471	176	301
45	1	73	312	509	193	301
45	2	66	4	165	342	470
45	3	64	94	160	323	357
46	1	73	316	523	182	318
46	2	66	5	173	335	476
46	3	64	109	173	325	359
47	1	73	323	524	226	341
47	2	73	345	447	245	317
47	3	66	7	211	339	474
47	4	64	119	185	332	364
48	1	73	356	557	225	337
48	2	66	9	220	338	475
48	3	64	143	208	334	370
48	4	62	135	336	118	289
49	1	66	20	248	353	479
49	2	62	3	156	99	395
49	3	62	168	355	126	293
50	1	73	412	620	272	369
50	2	66	30	286	363	475
50	3	62	208	394	141	320
51	1	73	431	627	279	385
51	2	66	40	304	371	475
51	3	62	227	424	151	328
51	4	62	6	218	121	427
53	1	62	313	506	171	367
54	1	62	347	550	175	372
55	1	62	377	591	192	378
55	2	62	43	372	167	432
56	1	62	98	420	175	435
57	1	62	128	450	170	428
58	1	62	171	493	170	422
59	1	62	200	526	170	428
59	2	56	152	398	142	279
60	1	56	435	592	93	194
60	2	62	231	574	160	417
60	3	56	191	434	144	270
61	1	64	566	634	400	441
61	2	62	254	583	144	419
61	3	56	208	453	134	271
62	1	62	277	617	127	384
63	1	62	285	621	125	370
64	1	62	297	625	106	361
65	1	62	305	639	72	334
66	1	62	315	639	69	317
67	1	62	337	637	56	321
68	1	62	351	639	31	279
68	2	41	363	418	277	342
69	1	73	45	157	257	338
69	2	62	367	639	19	272
69	3	56	219	356	8	137
69	4	41	374	428	262	330
70	1	73	53	165	236	324
70	2	73	55	178	169	241
70	3	62	379	639	3	260
70	4	56	215	354	12	115
71	1	73	50	162	224	315
71	2	73	26	201	142	232
71	3	62	385	639	2	251
71	4	56	240	336	16	99
72	1	73	48	158	209	306
72	2	67	43	173	138	210
72	3	62	379	639	0	217
73	1	73	39	147	207	304
73	2	62	373	639	2	195
74	1	73	34	139	203	299
74	2	62	373	630	16	171
75	1	62	363	635	6	153
76	1	65	56	179	391	477
76	2	62	368	578	8	135
77	1	62	359	591	6	104
78	1	73	284	479	265	420
83	1	73	14	168	84	226
85	1	65	157	286	309	434
87	1	73	26	183	96	249
88	1	66	510	639	5	167
90	1	65	205	344	326	453
91	1	73	29	201	92	256
91	2	65	222	357	320	456
92	1	73	30	200	93	255
92	2	65	216	380	322	449
93	1	65	220	379	327	450
95	1	65	238	371	358	472
96	1	65	250	391	362	476
97	1	66	485	635	8	147
98	1	73	15	203	139	327
98	2	66	488	634	10	147
99	1	66	498	637	10	146
99	2	65	311	455	387	477
100	1	66	498	636	11	140
101	1	65	360	503	389	479
102	1	65	382	525	386	479
104	1	65	427	574	398	479
104	2	41	416	482	25	90
107	1	65	463	626	438	479
108	1	66	551	639	15	153
109	1	66	550	639	21	178
110	1	73	137	339	256	428
110	2	66	548	639	32	182
110	3	66	127	226	1	43
111	1	66	547	639	26	192
111	2	66	125	228	0	45
111	3	41	446	504	110	186
112	1	73	156	349	267	442
112	2	67	394	447	323	371
112	3	66	125	226	0	50
112	4	66	541	633	41	204
112	5	41	447	503	116	190
113	1	67	396	449	332	383
113	2	66	126	227	4	64
113	3	66	537	631	49	206
114	1	66	127	225	8	71
114	2	66	532	629	53	216
115	1	73	6	175	239	408
115	2	73	168	355	302	457
115	3	66	124	225	18	82
115	4	66	534	624	81	229
116	1	73	8	171	250	421
116	2	66	120	217	23	96
117	1	73	3	164	288	450
117	2	64	116	205	149	217
118	1	62	193	315	0	203
119	1	62	177	295	0	209
119	2	42	409	626	302	409
120	1	62	154	276	14	234
122	1	62	26	150	0	55
123	1	63	205	413	75	197
124	1	66	313	401	239	355
124	2	63	238	384	89	200
124	3	62	48	179	83	323
124	4	62	282	373	85	214
125	1	66	306	390	236	354
125	2	62	265	353	85	217
125	3	62	1	64	4	96
126	1	77	492	636	227	460
126	2	56	483	639	209	478
126	3	66	291	379	228	343
126	4	62	1	42	4	96
126	5	62	20	150	85	315
127	1	77	494	634	224	458
127	2	56	487	638	206	478
127	3	66	293	386	235	347
127	4	62	1	38	2	99
127	5	62	241	340	81	211
127	6	41	300	357	366	445
128	1	77	492	639	232	463
128	2	56	485	639	214	478
128	3	66	305	399	237	351
128	4	63	339	410	142	204
128	5	62	0	44	0	108
129	1	66	326	421	229	344
129	2	62	0	65	5	107
129	3	62	269	361	87	213
130	1	62	1	87	3	100
131	1	62	1	113	4	92
132	1	62	11	129	4	75
133	1	62	25	160	5	59
136	1	63	156	284	82	202
137	1	63	178	302	77	189
137	2	56	5	124	144	302
138	1	56	17	149	144	272
139	1	63	227	349	71	181
