0	1	66	178	388	264	352
0	2	64	417	471	333	387
0	3	62	164	364	56	243
0	4	41	492	560	280	362
1	1	66	182	385	266	350
1	2	64	418	472	332	387
1	3	62	167	366	57	239
1	4	41	493	562	279	364
2	1	66	185	389	263	353
2	2	64	424	477	333	385
2	3	62	171	372	58	238
2	4	41	497	568	279	363
3	1	66	188	385	272	338
3	2	64	426	481	330	383
3	3	62	171	375	61	234
3	4	41	499	570	276	362
4	1	66	194	401	263	349
4	2	64	432	484	329	382
4	3	62	177	375	57	234
4	4	41	504	573	276	356
5	1	66	194	403	263	347
5	2	64	434	485	329	381
5	3	62	181	380	55	232
5	4	56	559	639	0	274
5	5	41	511	575	277	355
6	1	66	194	404	263	346
6	2	64	434	487	328	381
6	3	62	184	380	56	233
6	4	41	512	575	277	355
7	1	66	194	405	261	345
7	2	64	434	485	328	380
7	3	62	186	379	54	233
7	4	56	559	639	0	270
7	5	41	511	575	278	356
8	1	66	195	405	255	343
8	2	64	434	486	329	379
8	3	62	187	379	53	232
8	4	56	557	639	0	270
8	5	41	511	575	277	356
9	1	66	197	411	270	330
9	2	64	437	492	329	381
9	3	62	192	382	53	234
9	4	41	513	581	278	357
10	1	66	202	407	264	347
10	2	64	438	495	327	384
10	3	62	193	387	56	236
10	4	56	562	639	0	267
10	5	41	516	583	277	359
11	1	66	207	408	267	351
11	2	64	442	497	332	387
11	3	62	195	390	59	240
11	4	56	563	639	0	272
11	5	41	518	587	281	362
12	1	66	209	408	268	354
12	2	64	444	497	338	392
12	3	64	458	529	172	198
12	4	62	204	391	56	245
12	5	56	562	639	0	269
12	6	41	519	588	284	367
13	1	66	206	414	271	363
13	2	64	444	497	342	394
13	3	64	447	533	175	202
13	4	62	205	390	59	248
13	5	56	565	639	0	272
13	6	41	518	587	287	371
14	1	66	206	415	272	365
14	2	64	442	496	347	397
14	3	62	196	389	67	249
14	4	56	564	639	0	272
14	5	41	517	584	291	372
15	1	66	196	423	289	347
15	2	64	442	495	347	401
15	3	62	207	378	72	267
15	4	41	516	582	293	375
16	1	66	199	423	290	349
16	2	64	442	496	351	403
16	3	62	204	393	71	267
16	4	41	516	584	297	374
17	1	66	202	416	292	353
17	2	64	439	494	351	406
17	3	62	204	393	71	268
17	4	41	515	581	302	383
18	1	66	210	410	295	358
18	2	64	442	495	358	410
18	3	64	453	526	189	221
18	4	62	204	394	78	267
18	5	56	565	639	2	301
18	6	41	516	584	305	389
19	1	66	209	409	296	361
19	2	64	442	495	357	412
19	3	62	206	393	84	266
19	4	56	566	639	5	298
19	5	41	515	584	305	389
20	1	66	210	413	299	362
20	2	64	442	495	357	414
20	3	62	206	392	92	264
20	4	56	565	639	6	299
20	5	41	516	584	307	391
21	1	66	213	413	300	363
21	2	64	446	498	364	416
21	3	62	208	394	96	268
21	4	56	568	639	1	304
21	5	41	518	587	308	393
22	1	66	213	412	300	364
22	2	64	446	498	363	416
22	3	62	210	394	95	269
22	4	56	567	639	4	300
22	5	41	519	588	309	393
23	1	66	208	414	301	364
23	2	64	443	496	364	416
23	3	62	208	391	94	270
23	4	56	567	639	10	295
23	5	41	517	583	309	393
24	1	66	198	415	302	363
24	2	64	439	489	365	416
24	3	64	450	524	197	225
24	4	62	206	389	93	273
24	5	56	564	639	4	303
24	6	41	512	578	310	391
25	1	66	196	407	299	362
25	2	64	430	477	359	411
25	3	64	445	520	196	224
25	4	62	197	379	93	271
25	5	41	500	570	308	391
26	1	66	186	392	299	363
26	2	64	421	472	356	410
26	3	62	191	374	95	264
26	4	41	494	561	309	391
27	1	66	185	389	298	361
27	2	64	416	467	355	407
27	3	62	187	371	94	261
27	4	41	493	554	309	388
28	1	66	177	385	294	354
28	2	64	415	467	352	404
28	3	62	184	370	87	260
28	4	41	490	551	305	382
29	1	66	179	387	294	353
29	2	64	415	468	351	405
29	3	62	183	369	87	257
30	1	66	181	385	295	355
30	2	64	415	468	353	406
30	3	62	186	372	88	258
31	1	66	180	386	295	354
31	2	64	416	467	352	405
31	3	62	186	372	90	258
31	4	41	490	552	306	385
32	1	66	185	384	296	357
32	2	64	415	468	353	407
32	3	62	187	374	91	256
32	4	41	493	553	307	388
33	1	66	186	385	296	355
33	2	64	419	470	354	406
33	3	62	191	373	92	256
33	4	41	494	555	308	386
34	1	66	182	384	296	353
34	2	64	415	468	353	406
34	3	64	437	506	194	221
34	4	62	191	374	91	256
35	1	66	182	385	296	354
35	2	64	416	468	354	407
35	3	62	190	375	89	257
35	4	41	491	553	307	387
36	1	66	184	383	296	354
36	2	64	419	469	356	407
36	3	64	436	509	196	222
36	4	62	193	376	92	256
36	5	41	493	555	310	388
37	1	66	190	386	296	353
37	2	64	421	471	354	407
37	3	64	438	511	195	223
37	4	62	195	378	90	258
37	5	41	492	559	308	388
38	1	66	195	384	296	354
38	2	64	427	476	357	407
38	3	62	198	379	89	261
38	4	41	496	566	309	389
39	1	66	200	405	296	355
39	2	64	429	479	355	407
39	3	62	205	391	87	261
39	4	56	555	639	10	298
39	5	41	499	569	309	392
40	1	66	205	408	296	356
40	2	64	433	482	357	412
40	3	64	447	521	198	225
40	4	62	205	391	93	262
40	5	56	560	639	19	290
40	6	41	502	570	309	393
41	1	66	203	409	298	357
41	2	64	431	483	357	414
41	3	62	208	390	95	261
41	4	41	502	571	311	391
42	1	66	205	414	298	359
42	2	64	437	485	364	415
42	3	62	210	391	97	260
42	4	41	505	571	314	392
43	1	66	207	415	299	359
43	2	64	440	490	365	415
43	3	62	217	393	99	261
43	4	56	564	639	24	287
43	5	41	513	577	317	391
44	1	66	210	417	299	358
44	2	64	439	493	363	415
44	3	62	221	395	101	259
44	4	41	516	581	314	392
45	1	66	211	418	301	356
45	2	64	445	496	363	415
45	3	62	226	397	101	257
45	4	41	518	584	314	392
46	1	66	216	414	296	354
46	2	64	446	498	357	412
46	3	62	227	403	98	256
46	4	58	0	80	26	292
46	5	41	520	587	313	394
47	1	66	218	412	296	351
47	2	64	451	501	357	408
47	3	62	229	405	96	255
47	4	41	521	592	313	392
48	1	66	208	442	293	343
48	2	64	453	504	354	407
48	3	62	232	408	91	254
48	4	41	525	594	307	390
49	1	66	208	448	292	341
49	2	64	458	508	353	405
49	3	62	235	409	89	253
49	4	41	528	597	307	388
50	1	66	217	447	292	340
50	2	64	463	515	353	404
